Device ID,User,Total Backup Data (MB),OS,Device Added
4049214,589526,0.00,Windows,02/24/20 23:22
4048673,3100472,0.00,Windows,02/24/20 20:39
4048094,3100233,0.00,Mac OS X,02/24/20 18:44
4047059,3099666,0.00,Windows,02/24/20 16:44
4047058,3099665,0.00,Windows,02/24/20 16:44
4047055,3099662,0.00,Windows,02/24/20 16:43
4046992,3099643,0.00,Windows,02/24/20 16:34
4046832,242034,0.00,Windows,02/24/20 16:10
4046756,3099569,0.00,Windows,02/24/20 16:00
4046753,1112452,0.00,Windows,02/24/20 15:59
4043169,162992,0.00,Mac OS X,02/21/20 20:55
4043131,1835438,0.00,Windows,02/21/20 20:36
4043094,2533407,0.00,Windows,02/21/20 20:24
4042820,1806778,0.00,Mac OS X,02/21/20 19:56
4042639,615934,0.00,Windows,02/21/20 18:58
4042615,3096893,0.00,Mac OS X,02/21/20 18:47
4042581,3096889,0.00,Windows,02/21/20 18:36
4041626,721813,0.00,Windows,02/21/20 16:36
4041373,199557,0.00,Windows,02/21/20 15:43
4040470,3095766,0.00,Windows,02/21/20 12:20
4038515,3094302,0.00,Windows,02/21/20 00:57
4037528,250497,0.00,Mac OS X,02/20/20 19:25
4037131,238467,0.00,Windows,02/20/20 17:25
4037123,2575732,0.00,Windows,02/20/20 17:23
4033515,154424,0.00,Windows,02/19/20 21:39
4033010,238879,0.00,Windows,02/19/20 18:55
4032928,237212,0.00,Mac OS X,02/19/20 18:30
4032837,302562,0.00,Windows,02/19/20 18:01
4032743,240318,0.00,Windows,02/19/20 17:25
4032160,3082419,0.00,Windows,02/19/20 16:44
4030298,3090209,0.00,Windows,02/19/20 09:27
4030106,237452,0.00,Windows,02/19/20 07:53
4029620,3089951,0.00,Windows,02/19/20 02:58
4028616,511357,0.00,Windows,02/18/20 20:04
4028293,235429,0.00,Windows,02/18/20 18:40
4028235,421646,0.00,Windows,02/18/20 18:28
4028078,3076633,0.00,Windows,02/18/20 17:49
4028040,589516,0.00,Windows,02/18/20 17:41
4027510,3088906,0.00,Windows,02/18/20 17:13
4027487,3088892,0.00,Windows,02/18/20 17:09
4026647,700540,0.00,Windows,02/18/20 15:10
4026628,237620,0.00,Windows,02/18/20 15:08
4026565,747557,0.00,Windows,02/18/20 14:58
4026379,3088416,0.00,Windows,02/18/20 14:16
4023261,991925,0.00,Windows,02/17/20 18:57
4022981,3086798,0.00,Windows,02/17/20 17:09
4022564,3086435,0.00,Windows,02/17/20 15:39
4022539,3086429,0.00,Windows,02/17/20 15:31
4022424,3086336,0.00,Windows,02/17/20 15:00
4022410,2511328,0.00,Windows,02/17/20 14:54
4022159,3086244,0.00,Windows,02/17/20 13:37
4018851,3058830,0.00,Windows,02/14/20 21:57
4018785,3084336,0.00,Windows,02/14/20 21:26
4018780,1361635,0.00,Windows,02/14/20 21:24
4018747,237625,0.00,Windows,02/14/20 21:10
4016830,2060467,0.00,Windows,02/14/20 18:55
4016505,3082419,0.00,Windows,02/14/20 17:02
4016024,3082232,0.00,Windows,02/14/20 14:18
4015961,3082216,0.00,Windows,02/14/20 13:50
4014399,156152,0.00,Windows,02/13/20 21:40
4014255,3081272,0.00,Windows,02/13/20 20:43
4013673,991925,0.00,Windows,02/13/20 18:12
4013190,3080817,0.00,Windows,02/13/20 16:27
4012738,2244512,0.00,Windows,02/13/20 14:19
4012183,2747484,0.00,Windows,02/13/20 11:25
4011901,2747484,0.00,Windows,02/13/20 09:47
4011232,3058830,0.00,Windows,02/13/20 01:10
4010767,2878606,0.00,Windows,02/12/20 21:13
4010757,3057336,0.00,Windows,02/12/20 21:10
4009084,2554928,0.00,Windows,02/12/20 16:04
4008619,1233328,0.00,Windows,02/12/20 14:40
4008581,1112452,0.00,Windows,02/12/20 14:31
4007334,3078283,0.00,Windows,02/12/20 12:25
4005143,3077318,0.00,Mac OS X,02/11/20 23:28
4005066,371563,0.00,Windows,02/11/20 22:45
4004788,3077019,0.00,Windows,02/11/20 21:10
4004577,3073188,0.00,Windows,02/11/20 20:06
4004530,661476,0.00,Mac OS X,02/11/20 19:55
4004427,3076633,0.00,Windows,02/11/20 19:26
4004292,244440,0.00,Windows,02/11/20 18:56
4004215,156152,0.00,Windows,02/11/20 18:32
4004104,237442,0.00,Windows,02/11/20 18:04
4003808,2509523,0.00,Windows,02/11/20 17:09
4001805,2537903,0.00,Windows,02/11/20 14:04
3998767,245526,0.00,Windows,02/10/20 22:20
3998632,2646488,0.00,Windows,02/10/20 21:58
3998440,2878606,0.00,Windows,02/10/20 21:11
3998239,560246,0.00,Windows,02/10/20 20:39
3998230,3073188,0.00,Windows,02/10/20 20:37
3998213,238441,0.00,Windows,02/10/20 20:34
3997026,3072420,0.00,Windows,02/10/20 16:57
3996942,746186,0.00,Windows,02/10/20 16:43
3996766,247679,0.00,Windows,02/10/20 16:28
3996390,238145,0.00,Windows,02/10/20 15:38
3995964,237902,0.00,Windows,02/10/20 14:43
3995389,2877517,0.00,Windows,02/10/20 13:18
3992691,3070947,0.00,Windows,02/09/20 15:55
3992387,3070806,0.00,Mac OS X,02/09/20 02:11
3991624,3070471,0.00,Windows,02/08/20 02:19
3991253,154477,0.00,Windows,02/07/20 22:23
3991231,237153,0.00,Mac OS X,02/07/20 22:12
3990736,239123,0.00,Windows,02/07/20 20:11
3990172,237298,0.00,Windows,02/07/20 19:27
3989842,373429,0.00,Windows,02/07/20 18:17
3989597,2831490,0.00,Windows,02/07/20 17:16
3989079,237407,0.00,Windows,02/07/20 14:48
3988969,2511328,0.00,Windows,02/07/20 14:18
3988393,3069270,0.00,Windows,02/07/20 10:30
3988310,3069248,0.00,Windows,02/07/20 09:52
3987149,373429,0.00,Windows,02/06/20 23:58
3987065,422033,0.00,Windows,02/06/20 23:03
3986813,991925,0.00,Mac OS X,02/06/20 21:11
3986766,240511,0.00,Windows,02/06/20 20:53
3986737,3068434,0.00,Windows,02/06/20 20:46
3986660,154477,0.00,Mac OS X,02/06/20 20:32
3986626,747607,0.00,Windows,02/06/20 20:25
3986584,732796,0.00,Windows,02/06/20 20:11
3986116,237625,0.00,Windows,02/06/20 18:11
3985906,539051,0.00,Mac OS X,02/06/20 17:20
3985564,238242,0.00,Windows,02/06/20 15:55
3984423,3066893,0.00,Windows,02/06/20 10:34
3982798,245903,0.00,Windows,02/05/20 23:41
3982603,1833851,0.00,Windows,02/05/20 22:22
3982381,551922,0.00,Windows,02/05/20 21:22
3981644,155137,0.00,Windows,02/05/20 19:47
3981462,465465,0.00,Windows,02/05/20 19:21
3981408,658192,0.00,Windows,02/05/20 19:14
3980851,3065163,0.00,Windows,02/05/20 17:58
3980584,238162,0.00,Windows,02/05/20 17:01
3980200,237660,0.00,Windows,02/05/20 15:53
3980112,2772385,0.00,Windows,02/05/20 15:39
3980030,267427,0.00,Windows,02/05/20 15:20
3980011,204986,0.00,Windows,02/05/20 15:17
3979934,240848,0.00,Windows,02/05/20 15:03
3979911,238738,0.00,Windows,02/05/20 14:59
3979893,247673,0.00,Windows,02/05/20 14:54
3979752,426409,0.00,Mac OS X,02/05/20 14:22
3979629,673897,0.00,Windows,02/05/20 13:59
3979249,3064457,0.00,Windows,02/05/20 12:58
3979190,439534,0.00,Windows,02/05/20 12:47
3978016,404104,0.00,Windows,02/05/20 04:31
3977910,237299,0.00,Windows,02/05/20 02:41
3977420,731804,0.00,Windows,02/04/20 22:09
3977383,238219,0.00,Windows,02/04/20 21:54
3976381,821740,0.00,Windows,02/04/20 20:59
3976177,435182,0.00,Windows,02/04/20 20:07
3976129,657913,0.00,Windows,02/04/20 19:57
3975912,806008,0.00,Windows,02/04/20 19:30
3975884,247678,0.00,Windows,02/04/20 19:27
3975795,3063046,0.00,Windows,02/04/20 19:15
3975757,3063038,0.00,Windows,02/04/20 19:09
3975689,674109,0.00,Windows,02/04/20 18:56
3975617,2705691,0.00,Windows,02/04/20 18:44
3975378,247988,0.00,Windows,02/04/20 18:04
3975262,303479,0.00,Windows,02/04/20 17:40
3975233,373429,0.00,Windows,02/04/20 17:33
3975116,577531,0.00,Windows,02/04/20 17:18
3975037,237335,0.00,Windows,02/04/20 16:55
3974969,991895,0.00,Windows,02/04/20 16:40
3974915,250915,0.00,Windows,02/04/20 16:29
3974797,238126,0.00,Windows,02/04/20 16:12
3974773,476785,0.00,Windows,02/04/20 16:06
3974766,747570,0.00,Windows,02/04/20 16:05
3973630,183267,0.00,Windows,02/04/20 15:52
3972972,238625,0.00,Windows,02/04/20 15:46
3972891,240209,0.00,Windows,02/04/20 15:40
3972834,154583,0.00,Windows,02/04/20 15:39
3972354,239758,0.00,Windows,02/04/20 15:33
3971791,238738,0.00,Windows,02/04/20 15:03
3971136,238146,0.00,Windows,02/04/20 14:57
3971076,403615,0.00,Windows,02/04/20 14:47
3971030,236260,0.00,Windows,02/04/20 14:35
3970920,240529,0.00,Windows,02/04/20 14:15
3970779,268242,0.00,Windows,02/04/20 13:42
3970666,237763,0.00,Windows,02/04/20 13:18
3970649,199209,0.00,Windows,02/04/20 13:14
3970578,2747484,0.00,Windows,02/04/20 12:53
3970373,2877517,0.00,Windows,02/04/20 11:37
3970372,165065,0.00,Windows,02/04/20 11:37
3969364,237452,0.00,Windows,02/04/20 08:05
3968381,3058830,0.00,Windows,02/03/20 23:03
3968367,1350063,0.00,Windows,02/03/20 22:59
3968347,3058830,0.00,Windows,02/03/20 22:56
3968342,237663,0.00,Windows,02/03/20 22:53
3967105,3058322,0.00,Windows,02/03/20 18:42
3966994,237338,0.00,Windows,02/03/20 18:22
3966791,3058224,0.00,Windows,02/03/20 17:47
3966778,3058216,0.00,Windows,02/03/20 17:45
3966497,3058050,0.00,Windows,02/03/20 17:03
3966276,3057961,0.00,Windows,02/03/20 16:31
3965801,3057593,0.00,Windows,02/03/20 15:11
3965690,3057546,0.00,Windows,02/03/20 14:46
3965219,3057336,0.00,Windows,02/03/20 13:41
3964784,3057130,0.00,Windows,02/03/20 12:02
3962075,357129,0.00,Mac OS X,02/01/20 00:15
3961965,240831,0.00,Windows,01/31/20 22:42
3961897,1310854,0.00,Windows,01/31/20 22:11
3961859,551922,0.00,Windows,01/31/20 22:01
3961786,241244,0.00,Windows,01/31/20 21:33
3961710,385312,0.00,Windows,01/31/20 21:12
3958726,2606372,0.00,Mac OS X,01/31/20 16:08
3941897,519311,0.00,Windows,01/28/20 17:34
3817910,475548,0.00,Windows,01/09/20 19:20
3794232,519311,0.00,Windows,01/06/20 17:05
3758893,308228,0.00,Windows,12/19/19 21:45
3714276,237197,0.00,Mac OS X,12/05/19 22:51
3652536,2177435,0.00,Windows,11/19/19 17:51
3652400,2177435,0.00,Windows,11/19/19 17:18
3626308,237332,0.00,Windows,11/14/19 08:48
3559264,748398,0.00,Windows,10/28/19 18:05
3525946,238229,0.00,Windows,10/15/19 15:58
3499093,2309625,276.57,Windows,10/04/19 20:10
3499061,2380336,3.99,Mac OS X,10/04/19 19:54
3498537,455850,1233.21,Windows,10/04/19 17:28
3498144,2544136,781.00,Windows,10/04/19 15:57
3496852,2593883,6007.39,Windows,10/04/19 06:26
3495796,1664438,1437.63,Windows,10/03/19 19:52
3495790,2060467,915.01,Windows,10/03/19 19:47
3495511,2365294,109.24,Windows,10/03/19 18:12
3495376,790977,1154.59,Windows,10/03/19 17:32
3495022,747557,669.99,Windows,10/03/19 15:35
3492777,536548,27938.73,Mac OS X,10/02/19 21:06
3492727,382682,2252.76,Windows,10/02/19 20:49
3492687,2591672,2427.62,Mac OS X,10/02/19 20:34
3492518,581123,2022.50,Mac OS X,10/02/19 19:27
3492516,425066,1419.13,Mac OS X,10/02/19 19:26
3492474,622393,1121.74,Windows,10/02/19 19:12
3492191,747607,688.71,Windows,10/02/19 17:58
3492106,268475,964.29,Windows,10/02/19 17:35
3492087,425066,1409.79,Mac OS X,10/02/19 17:26
3491543,2591378,2669.56,Windows,10/02/19 14:32
3491398,2544639,191.23,Windows,10/02/19 13:49
3477058,609455,4.07,Mac OS X,10/01/19 21:57
3475992,991055,5274.73,Windows,10/01/19 16:10
3475496,2583291,5696.72,Windows,10/01/19 14:28
3475480,2476814,1481.39,Windows,10/01/19 14:24
3474557,2582901,2492.40,Windows,10/01/19 11:44
3474437,2582856,5768.63,Windows,10/01/19 11:12
3473108,545205,8.58,Mac OS X,10/01/19 00:26
3472686,772687,3109.56,Windows,09/30/19 20:26
3472637,2511328,285.94,Windows,09/30/19 20:09
3472586,2540408,293.87,Windows,09/30/19 19:48
3472544,237648,5147.46,Windows,09/30/19 19:33
3472329,676822,76870.33,Mac OS X,09/30/19 18:45
3471455,2580228,1384.49,Windows,09/30/19 15:59
3471449,2580226,1924.88,Windows,09/30/19 15:58
3471414,2580195,2714.80,Windows,09/30/19 15:52
3471356,747557,418.32,Windows,09/30/19 15:46
3471233,2060467,584.86,Windows,09/30/19 15:24
3471193,2580109,5232.21,Windows,09/30/19 15:13
3470935,2580001,6109.81,Windows,09/30/19 14:05
3470890,2579978,4355.35,Windows,09/30/19 13:52
3469764,2579410,2082.88,Windows,09/30/19 08:00
3468936,973808,143.07,Windows,09/29/19 19:38
3468706,473107,50639.18,Mac OS X,09/29/19 06:13
3468177,2346074,4495.16,Windows,09/27/19 22:39
3468082,2578330,5795.91,Windows,09/27/19 21:44
3467910,678007,1779.29,Windows,09/27/19 20:03
3467301,2577962,5526.90,Windows,09/27/19 16:04
3467016,2577863,9082.96,Windows,09/27/19 15:08
3466923,2577839,4948.83,Windows,09/27/19 14:51
3466709,2577778,6392.54,Windows,09/27/19 14:22
3466682,2577770,4631.64,Windows,09/27/19 14:13
3466636,2577744,5612.63,Windows,09/27/19 14:03
3466525,2577714,5727.04,Windows,09/27/19 13:30
3466510,2577706,21262.47,Windows,09/27/19 13:26
3466457,2577678,4279.89,Windows,09/27/19 13:04
3466456,2577677,5336.83,Windows,09/27/19 13:03
3466438,2577675,13030.42,Windows,09/27/19 12:58
3462104,2575732,3368.09,Windows,09/26/19 16:12
3461938,2539679,2112.67,Windows,09/26/19 15:14
3461862,2575618,15038.47,Windows,09/26/19 14:53
3461795,2509523,2687.43,Windows,09/26/19 14:33
3461764,2575598,7012.21,Windows,09/26/19 14:26
3461584,2575519,6190.66,Windows,09/26/19 13:56
3461570,2575515,9965.14,Windows,09/26/19 13:54
3461436,2575467,2851.35,Windows,09/26/19 13:31
3461127,2575324,10047.63,Windows,09/26/19 11:34
3459856,609482,4540.09,Mac OS X,09/25/19 22:24
3459714,2574758,40.28,Mac OS X,09/25/19 21:04
3459536,2574659,785.75,Windows,09/25/19 19:56
3459464,2561285,682.07,Windows,09/25/19 19:31
3458000,2574011,4665.05,Windows,09/25/19 13:39
3455813,452896,438.99,Windows,09/24/19 21:39
3455800,324910,258.12,Windows,09/24/19 21:32
3455439,474993,28013.96,Mac OS X,09/24/19 19:55
3455216,2572656,4001.74,Windows,09/24/19 19:24
3454154,2562023,5945.27,Windows,09/24/19 15:53
3450068,245293,29795.17,Windows,09/23/19 17:31
3449776,2569801,6732.71,Windows,09/23/19 16:12
3449772,2569799,2108.18,Windows,09/23/19 16:11
3449732,2569767,9785.66,Windows,09/23/19 16:02
3449190,2569454,3447.49,Windows,09/23/19 14:19
3439660,2567275,5292.39,Windows,09/20/19 22:03
3439596,237330,11292.26,Windows,09/20/19 21:19
3439095,237355,6126.16,Windows,09/20/19 17:31
3439017,238889,3096.64,Windows,09/20/19 17:08
3438754,2538101,2530.32,Windows,09/20/19 15:43
3438552,2539665,3073.46,Windows,09/20/19 14:40
3435544,237188,70062.91,Mac OS X,09/19/19 23:36
3435380,293516,10086.07,Windows,09/19/19 21:45
3434353,2538101,395.20,Windows,09/19/19 15:46
3434269,2449133,4275.12,Windows,09/19/19 15:28
3434224,2564533,10679.94,Windows,09/19/19 15:15
3431578,360972,4150.34,Mac OS X,09/18/19 22:20
3431493,2562023,13431.70,Windows,09/18/19 21:58
3429900,2561285,363.17,Windows,09/18/19 15:22
3429198,2560942,255163.60,Windows,09/18/19 14:06
3428603,2389007,114.85,Windows,09/18/19 10:41
3426477,589516,685.71,Windows,09/17/19 20:56
3425449,240529,4678.85,Windows,09/17/19 17:48
3420539,2555152,5276.19,Windows,09/16/19 16:04
3420504,2555143,4934.49,Windows,09/16/19 15:54
3420408,2555079,6829.09,Windows,09/16/19 15:25
3420181,2554928,13700.29,Windows,09/16/19 14:25
3417579,2553624,6963.52,Windows,09/14/19 11:26
3417020,247679,3099.53,Windows,09/13/19 21:02
3413925,2551642,4605.93,Windows,09/12/19 21:42
3412710,237610,5906.24,Windows,09/12/19 17:18
3410031,2549110,523.44,Windows,09/11/19 22:39
3409997,803773,8322.39,Windows,09/11/19 22:15
3409948,2548937,12911.39,Windows,09/11/19 21:44
3409803,590881,336.18,Windows,09/11/19 20:34
3409792,1649402,41970.71,Windows,09/11/19 20:29
3406670,2546865,4834.17,Windows,09/11/19 14:12
3404674,2476814,5581.53,Windows,09/11/19 13:52
3404241,2546599,1986.03,Windows,09/11/19 11:14
3401334,2544943,7371.60,Windows,09/10/19 17:22
3400784,2544670,3773.20,Windows,09/10/19 14:56
3400767,2544667,4385.59,Windows,09/10/19 14:51
3400661,2544639,116117.48,Windows,09/10/19 14:19
3399963,2544299,3776.74,Windows,09/10/19 13:40
3399960,2544298,3466.99,Windows,09/10/19 13:39
3399629,2544170,3153.20,Windows,09/10/19 11:57
3399547,2544136,5531.36,Windows,09/10/19 11:19
3399523,2544124,618009.83,Windows,09/10/19 11:09
3399521,2544122,3893.26,Windows,09/10/19 11:09
3398335,247667,17657.62,Windows,09/10/19 00:13
3398031,2512713,5929.65,Windows,09/09/19 21:27
3397945,2543343,6879.29,Windows,09/09/19 20:50
3397704,1334806,1330.44,Windows,09/09/19 19:20
3397626,245231,36458.65,Mac OS X,09/09/19 18:55
3397555,2543185,1572.32,Windows,09/09/19 18:39
3396074,2542336,5338.25,Windows,09/09/19 15:03
3396011,2542311,6587.32,Windows,09/09/19 14:49
3395932,2542283,735803.45,Windows,09/09/19 14:28
3395759,2542199,6827.24,Windows,09/09/19 13:58
3395723,2542188,2593.87,Windows,09/09/19 13:48
3395690,2542172,3629.95,Windows,09/09/19 13:42
3395608,2542127,34786.96,Windows,09/09/19 13:23
3395537,2542086,644304.79,Windows,09/09/19 13:04
3392768,2540430,5478.05,Windows,09/06/19 22:18
3392760,2540429,4202.76,Windows,09/06/19 22:07
3392757,2540428,5459.48,Windows,09/06/19 22:05
3392735,2540417,5140.31,Windows,09/06/19 21:58
3392733,242372,15996.90,Windows,09/06/19 21:57
3392726,2540415,5301.00,Windows,09/06/19 21:54
3392724,2540413,7105.51,Windows,09/06/19 21:53
3392722,2540411,6508.09,Windows,09/06/19 21:52
3392721,2540410,7437.64,Windows,09/06/19 21:52
3392718,2540409,5679.56,Windows,09/06/19 21:50
3392717,2540408,7214.15,Windows,09/06/19 21:50
3392710,2540407,4975.63,Windows,09/06/19 21:48
3392708,2540406,3147.64,Windows,09/06/19 21:46
3392707,2540405,798787.96,Windows,09/06/19 21:45
3392706,2540404,820975.77,Windows,09/06/19 21:45
3392704,2540403,753813.51,Windows,09/06/19 21:44
3392703,2540402,8245.89,Windows,09/06/19 21:43
3392702,2540401,11575.45,Windows,09/06/19 21:43
3392701,2540400,5918.54,Windows,09/06/19 21:42
3392700,2540399,839626.78,Windows,09/06/19 21:41
3392633,239990,6027.43,Windows,09/06/19 21:19
3392476,1839249,7065.68,Windows,09/06/19 20:14
3392428,242691,9538.97,Windows,09/06/19 19:51
3391951,1839249,627.33,Windows,09/06/19 17:37
3391534,2539679,3387.91,Windows,09/06/19 15:22
3391477,2539665,2608.85,Windows,09/06/19 15:12
3391444,2539660,7831.97,Windows,09/06/19 15:04
3391418,2539651,3531.57,Windows,09/06/19 15:01
3391405,2539648,4650.78,Windows,09/06/19 14:59
3391377,2539644,12777.24,Windows,09/06/19 14:56
3391338,2539632,5867.20,Windows,09/06/19 14:43
3391332,2539629,7504.38,Windows,09/06/19 14:41
3391313,2539623,3745.37,Windows,09/06/19 14:37
3391268,2539598,12378.53,Windows,09/06/19 14:27
3391267,2539596,5632.40,Windows,09/06/19 14:27
3391245,2539581,5811.63,Windows,09/06/19 14:22
3391194,2539563,6537.47,Windows,09/06/19 14:06
3391125,2539542,2532.99,Windows,09/06/19 13:45
3391116,2539540,2831.06,Windows,09/06/19 13:43
3391100,2539532,3167.33,Windows,09/06/19 13:39
3391082,2539525,7285.21,Windows,09/06/19 13:30
3391066,2539481,8415.48,Windows,09/06/19 13:26
3391045,2539473,312115.48,Windows,09/06/19 13:17
3391042,2539472,9316.06,Windows,09/06/19 13:17
3391041,2539471,3747.06,Windows,09/06/19 13:17
3391027,2539468,816470.14,Windows,09/06/19 13:15
3391009,2539462,631185.36,Windows,09/06/19 13:07
3390989,2539459,7270.82,Windows,09/06/19 13:01
3390944,2539449,281828.26,Windows,09/06/19 12:43
3390785,2539385,5774.32,Windows,09/06/19 11:35
3390784,2539384,5626.61,Windows,09/06/19 11:35
3390782,2539381,6186.69,Windows,09/06/19 11:32
3390780,2539380,6056.45,Windows,09/06/19 11:30
3390749,2539366,3374.10,Windows,09/06/19 11:20
3390736,2539359,5127.43,Windows,09/06/19 11:15
3390730,2539358,7939.01,Windows,09/06/19 11:13
3390727,2539356,5652.40,Windows,09/06/19 11:13
3390725,2539355,696440.16,Windows,09/06/19 11:12
3390720,2539280,303.08,Windows,09/06/19 11:09
3389403,702719,14214.89,Windows,09/05/19 22:06
3389400,2538104,7883.55,Windows,09/05/19 22:05
3389392,2538101,3719.76,Windows,09/05/19 22:01
3389387,2538098,5488.66,Windows,09/05/19 21:58
3389373,2538094,6952.66,Windows,09/05/19 21:50
3389369,2538093,6956.50,Windows,09/05/19 21:50
3389361,2538089,4125.49,Windows,09/05/19 21:45
3388946,2537903,1835.16,Mac OS X,09/05/19 18:37
3387871,1981996,759.75,Windows,09/05/19 14:13
3385767,1179693,5584.71,Windows,09/04/19 21:50
3385655,1404022,8870.08,Windows,09/04/19 21:04
3385639,245363,2385.16,Windows,09/04/19 20:57
3385541,965677,11564.91,Windows,09/04/19 20:16
3385482,609492,712.93,Mac OS X,09/04/19 19:49
3385432,238476,1065.26,Windows,09/04/19 19:30
3383427,2511323,7812.41,Windows,09/04/19 14:39
3380497,2533714,10357.58,Windows,09/03/19 17:51
3380443,2533698,5209.95,Windows,09/03/19 17:36
3380140,2533544,6358.01,Windows,09/03/19 16:20
3380071,2533455,8264.14,Windows,09/03/19 16:00
3380014,2533428,5137.63,Windows,09/03/19 15:43
3379989,2533419,6066.55,Windows,09/03/19 15:36
3379964,2533415,5378.76,Windows,09/03/19 15:31
3379951,2533409,5468.78,Windows,09/03/19 15:28
3379950,2533408,6266.68,Windows,09/03/19 15:28
3379942,2533407,5820.15,Windows,09/03/19 15:27
3379848,2533364,1811.35,Mac OS X,09/03/19 15:11
3378793,2532867,10027.11,Windows,09/03/19 13:00
3375840,2515150,131.48,Windows,09/02/19 10:03
3361145,1392365,4308.64,Mac OS X,08/30/19 19:15
3360116,2520993,7150.31,Windows,08/30/19 15:15
3359979,2520925,4789.57,Windows,08/30/19 14:39
3359966,2520923,16230.89,Windows,08/30/19 14:35
3359932,674057,1578.25,Windows,08/30/19 14:22
3359810,2476147,11139.27,Windows,08/30/19 13:47
